generic_name_clean,common_side_effects,less_common_side_effects,rare_side_effects,postmarketing_side_effects,unknown_frequency_side_effects
finasteride,"angioedema, asthenia, breast cancer, breast disorder, breast enlargement, breast tenderness, bronchitis, dermatitis, disturbance in sexual arousal, dizziness, dyspnoea, ejaculation disorder",,"infertility male, neoplasm prostate, prostatic specific antigen increased","androgenetic alopecia, breast cancer male, musculoskeletal disorder",
fluconazole,"abdominal pain, acne, agitation, agranulocytosis, alanine aminotransferase increased, alopecia, anaemia, anaphylactic shock, angioedema, angiopathy, aspartate aminotransferase increased, aspergillus infection","alcohol abuse, cryptococcosis, drug eruption, drug interaction, renal pain, torsade de pointes","acute generalised exanthematous pustulosis, acute hepatic failure, clonic convulsion, hepatic necrosis, uterine spasm",pregnancy,"culture negative, hypopnoea, pathogen resistance"
flumazenil,"affect lability, aggression, agitation, anger, anxiety, arrhythmia, asthenia, ataxia, bradycardia, chest pain, chills, confusional state","drug abuse, epilepsy, fear, hyperacusis, panic attack, panic disorder, tongue disorder, tongue oedema","asphyxia, tearfulness",dependence,"congenital skin disorder, hypopnoea"
flunisolide,"abdominal discomfort, abdominal distension, abdominal pain, ageusia, agitation, anxiety, asthenia, back pain, body temperature increased, bronchitis, bronchospasm, candida infection","cushing's syndrome, ear infection, eye infection, intraocular pressure increased, pulmonary congestion","capillary fragility, nasal septum perforation, secondary adrenocortical insufficiency","anosmia, hyperadrenocorticism",
fluorescein,"abdominal discomfort, abdominal pain, anaphylactic shock, angina pectoris, angiopathy, aphasia, asthenia, asthma, bradycardia, bronchospasm, cardiac arrest, cardiac disorder","acute myocardial infarction, anaphylactoid reaction, hypoventilation, intermittent claudication, laryngeal oedema, macular degeneration, macular oedema, nasal oedema, peripheral vascular disorder, respiratory failure","diabetic retinopathy, respiratory arrest, vasospasm",vertebrobasilar insufficiency,injection site thrombosis
fluorometholone,"cataract, conjunctival hyperaemia, conjunctivitis, dermatitis, dysgeusia, endophthalmitis, erythema of eyelid, eye discharge, eye disorder, eye irritation, eye pain, eye pruritus","eye infection, eye swelling, iridocyclitis, ulcerative keratitis","cataract subcapsular, nerve injury",hyperadrenocorticism,
fluoxetine,"abdominal distension, abdominal pain, abnormal dreams, accommodation disorder, acne, acute abdomen, acute coronary syndrome, affect lability, ageusia, aggression, agitation, akathisia","abortion, alveolitis allergic, anaphylactoid reaction, antisocial behaviour, antisocial personality disorder, aplastic anaemia, asocial behaviour, biliary colic, bleeding time prolonged, blood disorder","cerebral artery embolism, chondrodystrophy, clonic convulsion, cough decreased, diabetic ketoacidosis, diarrhoea haemorrhagic, drug dependence, drug tolerance","breast feeding, dependence, hyperplasia, pregnancy, protrusion tongue, self-injurious ideation, teratogenicity","attention deficit/hyperactivity disorder, body height decreased, carcinogenicity, central nervous system stimulation, cervix haemorrhage uterine, foetal alcohol syndrome, langerhans' cell histiocytosis, oesophageal varices haemorrhage"
flurbiprofen,"abdominal discomfort, abdominal distension, abdominal pain, acute coronary syndrome, affect lability, agranulocytosis, albuminuria, alopecia, amblyopia, amnesia, anaemia, anaphylactic shock","aplastic anaemia, bleeding time prolonged, cerebral ischaemia, coma, drug interaction, ear disorder, electroencephalogram abnormal, enteritis, haemolytic anaemia, haemorrhagic disorder","diarrhoea haemorrhagic, fibrosis, inflammatory bowel disease, meningitis aseptic, nail discolouration, pulmonary infarction",,"gastrointestinal ulcer haemorrhage, hyphaema"
flutamide,"anaemia, anxiety, aspartate aminotransferase increased, asthenia, bladder pain, blood urea increased, breast tenderness, chromaturia, confusional state, constipation, cystitis, cystitis noninfective","anaemia macrocytic, breast neoplasm, haemolytic anaemia, injection site irritation, laboratory test abnormal, loss of libido, proctitis, traumatic liver injury","hepatic necrosis, methaemoglobinaemia","breast mass, metastatic neoplasm, sulphaemoglobinaemia",
fluvastatin,"abdominal pain, abdominal pain upper, alopecia, amnesia, anaphylactic shock, angioedema, angiopathy, anxiety, arrhythmia, arthralgia, arthritis, arthropathy","cognitive disorder, gastric disorder, haemolytic anaemia, intermittent claudication, loss of libido, myositis, rhabdomyolysis","antinuclear antibody positive, drug reaction with eosinophilia and systemic symptoms, facial paresis, hepatic cancer, hepatic necrosis, hepatocellular carcinoma, iiird nerve paralysis, lenticular opacities","hepatitis chronic active, immune-mediated necrotising myopathy, muscle swelling, myoglobin urine present, myoglobinuria, peripheral nerve palsy",
fosaprepitant,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, alanine aminotransferase increased, anaemia, anaphylactic shock, angioedema, angiopathy, anxiety, aspartate aminotransferase increased, asthenia","blood albumin decreased, cognitive disorder, neutrophil count decreased, post procedural infection, procedural haemorrhage, staphylococcal infection, subileus, upper-airway cough syndrome","miosis, type i hypersensitivity",procedural nausea,"duodenal ulcer perforation, faeces hard, infusion site induration, infusion site pruritus, infusion site thrombosis"
fosinopril,"abdominal distension, abdominal pain, abdominal pain upper, acute coronary syndrome, affect lability, agitation, agranulocytosis, albumin urine present, anaemia, anaemia megaloblastic, anaphylactic shock, angina pectoris","abnormal faeces, anaphylactoid reaction, anuria, aplastic anaemia, arrhythmia supraventricular, cerebral infarction, coronary artery disease, drug interaction, ear infection, haemolytic anaemia","antinuclear antibody positive, cardiac tamponade, pemphigus, pulmonary eosinophilia, respiratory arrest, sialoadenitis, vasculitis necrotising, xanthopsia","cardio-respiratory arrest, microcephaly, microsomia, oligohydramnios, palmar-plantar erythrodysaesthesia syndrome, patent ductus arteriosus, pregnancy, serositis","cranial nerve disorder, skin induration, urinary sediment abnormal"
fosphenytoin,"affect lability, ageusia, agitation, akathisia, albuminuria, alkalosis, amblyopia, amnesia, anaemia, anaphylactic shock, anorectal discomfort, aphasia","acidosis, anaphylactoid reaction, atrial flutter, brain oedema, cerebral infarction, coma, cryptococcosis, diabetes insipidus, encephalitis, extensor plantar response",,,
furosemide,"abdominal distension, abdominal pain, agitation, agranulocytosis, anaemia, anaphylactic shock, angiopathy, apathy, application site pain, arrhythmia, asthenia, bladder pain","anaphylactoid reaction, aplastic anaemia, drug eruption, drug interaction, haemolytic anaemia, hepatic cirrhosis, orthostatic intolerance, tubulointerstitial nephritis","acute generalised exanthematous pustulosis, glucose tolerance decreased, hydronephrosis, vasculitis necrotising, xanthopsia","accidental exposure to product, benign prostatic hyperplasia, epidermolysis bullosa, hypercoagulation, metabolic alkalosis, nephrocalcinosis, patent ductus arteriosus, pemphigoid","deafness permanent, electrolyte depletion, pseudo-bartter syndrome"
gabapentin,"abdominal pain, abnormal dreams, abscess, accommodation disorder, acne, acute coronary syndrome, affect lability, ageusia, agitation, alcohol intolerance, alopecia, amblyopia","abnormal faeces, antisocial behaviour, antisocial personality disorder, anuria, asocial behaviour, aura, bleeding time prolonged, blindness, central nervous system neoplasm, cerebellar syndrome","blood urea abnormal, capillary fragility increased, chorioretinitis, dandruff, diabetic ketoacidosis, diabetic retinopathy, eustachian tube disorder, hepatitis cholestatic","blood glucose fluctuation, breast feeding, death","infectious mononucleosis, occipital neuralgia"
gadobutrol,"abdominal pain, anaphylactic shock, apathy, aphasia, application site pain, body temperature increased, convulsion, dermatitis, diarrhoea, dizziness, dry mouth, dysgeusia",anaphylactoid reaction,,"breast feeding, pregnancy",
gadodiamide,"abdominal pain, acute coronary syndrome, ageusia, anaphylactic shock, anxiety, application site pain, arrhythmia, arthralgia, asthenia, ataxia, autonomic neuropathy, blood creatinine increased","anaphylactoid reaction, coma, paresis",multiple sclerosis,nephrogenic systemic fibrosis,
gadoteridol,"abdominal pain, anaphylactic shock, anxiety, apnoea, body temperature increased, bradycardia, cardiac arrest, cardiovascular disorder, chest pain, convulsion, cough, cyanosis","anaphylactoid reaction, electrocardiogram pr prolongation, laryngeal oedema, laryngospasm, nuchal rigidity, tongue disorder, tongue oedema","deafness transitory, nodal rhythm, staring",nephrogenic systemic fibrosis,
galantamine,"abdominal discomfort, abdominal pain, abdominal pain upper, aggression, agitation, anaemia, angiopathy, anxiety, apathy, aphasia, apraxia, arrhythmia","arrhythmia supraventricular, cognitive disorder, completed suicide, diverticulitis, electrocardiogram t wave inversion, hallucination, auditory, lower gastrointestinal haemorrhage, oesophageal perforation, sinus bradycardia, supraventricular extrasystoles",,,vascular dementia
gatifloxacin,"abdominal pain, ageusia, agitation, alanine aminotransferase increased, alcohol intolerance, anaphylactic shock, angioedema, anxiety, arthralgia, arthritis, asthenia, asthma","blepharitis allergic, conjunctival disorder, conjunctival irritation, corneal disorder, eczema eyelids, macular oedema, oedema mouth, panic attack, panophthalmitis, staphylococcal infection",,"corneal defect, corneal perforation, corneal thinning, dacryocystitis, hypoglycaemic coma",conjunctival cyst
gefitinib,"abdominal pain, acne, alanine aminotransferase increased, alopecia, alveolitis, amblyopia, anaemia, angioedema, angiopathy, anorectal disorder, arrhythmia, aspartate aminotransferase increased","drug interaction, ischaemia, respiratory failure, scrotal oedema, sinus arrhythmia, skin fissures","cystitis haemorrhagic, lip swelling",cutaneous vasculitis,
gemcitabine,"acute coronary syndrome, acute respiratory distress syndrome, agranulocytosis, alanine aminotransferase increased, alopecia, anaemia, anaphylactic shock, angiopathy, arrhythmia, arthralgia, aspartate aminotransferase increased, asthenia","anaphylactoid reaction, arrhythmia supraventricular, drug interaction, haemolytic uraemic syndrome, respiratory failure","injection site necrosis, microangiopathic haemolytic anaemia, posterior reversible encephalopathy syndrome, pulmonary fibrosis, recall phenomenon, reticulocytosis, venoocclusive liver disease",metastatic neoplasm,"blood bilirubin normal, oral toxicity, septic arthritis streptobacillus, streptobacillary fever, traumatic lung injury"
gentamicin,"agranulocytosis, alopecia, anaemia, anaphylactic shock, application site pain, arthralgia, body temperature increased, confusional state, conjunctival hyperaemia, convulsion, deafness, decreased appetite","anaphylactoid reaction, benign intracranial hypertension, blood calcium decreased, laryngeal oedema, splenomegaly, venous thrombosis","pulmonary fibrosis, thrombocytopenic purpura","atrophy, myasthenic syndrome","fat necrosis, mental disorder due to a general medical condition"
glimepiride,"abdominal distension, abdominal pain, aggression, agitation, agranulocytosis, alanine aminotransferase increased, alcohol intolerance, anaemia, anaphylactic shock, angina pectoris, angioedema, anxiety","aplastic anaemia, coma, drug eruption, erythropenia, haemolytic anaemia, hunger, inappropriate antidiuretic hormone secretion, laboratory test abnormal, paresis","granulomatous liver disease, hepatitis cholestatic, leukocytoclastic vasculitis, porphyria non-acute, thrombocytopenic purpura",glucose-6-phosphate dehydrogenase deficiency,hypopnoea
